mobile_number,people_name,home_address,birth_date,email_address
206-317-1695,Glenden Hartley,99687 Del Sol Parkway,5/15/2023,ghartley0@bbb.org
810-673-8886,Worthington Mapston,780 Macpherson Circle,10/15/2022,wmapston1@unblog.fr
678-996-0450,Judon Bertson,34780 Tennyson Place,2/10/2023,jbertson2@google.co.uk
254-524-4109,Quinta Brew,6255 Autumn Leaf Avenue,3/27/2023,qbrew3@ow.ly
233-328-1288,Alix Marjoram,4213 1st Court,8/28/2023,amarjoram4@mtv.com
957-553-9776,Bailey Gillio,5642 Larry Park,8/23/2023,bgillio5@privacy.gov.au
216-183-2168,Anjela Oxbury,8 Straubel Point,10/23/2022,aoxbury6@tripadvisor.com
954-556-1686,Dixie Simioli,04 Roxbury Center,8/31/2023,dsimioli7@bloomberg.com
395-336-0932,Denis Bridgman,23062 Maywood Junction,7/14/2023,dbridgman8@imdb.com
502-974-9490,Georgie Kruschov,64248 Spenser Junction,10/20/2022,gkruschov9@yahoo.com
