venue_number,person_name,venue_address,rental_fee,max_attendees
639-576-4083,Yolane Lawden,447 Waubesa Terrace,$80476.50,470
637-438-2690,Lyell Dawtry,4 Talisman Lane,$20687.26,192
417-634-6516,Creighton Lemmer,918 Caliangt Crossing,$41468.83,986
222-303-3827,Lin Inch,1 Paget Terrace,$67682.58,131
230-726-2528,Junie Ughetti,57 Village Center,$27244.43,829
821-867-7671,Marrissa Tomczykiewicz,94 Mayfield Way,$85164.06,329
115-881-5236,Alyce Goucher,9 Lighthouse Bay Place,$10544.04,697
390-855-7079,Lennie McLise,66 Gerald Plaza,$28894.09,867
159-260-5316,Karia Esseby,00615 Becker Hill,$11344.57,457
816-537-7370,Annetta Pryer,5374 Sundown Center,$28228.68,895
